,Date,First Name,Last Name,Street Address,State,Postal Code,Email,Status,Notes,Recruit_id,Trainer_id
10,11/02/2022,Barbara,Upton,7841 North 59th Lane Glendale ,AZ ,85301,Barbara.Upton@gmail.com,Yellow Light,N/A,67ee0f71ab70bfdba17062a52a133f08283235fd,cb4e5208b4cd87268b208e49452ed6e89a68e0b8
11,09/30/2020,Patrice,Murphy,962 South Silverado Drive Fayetteville ,AR ,72701,Patrice.Murphy@gmail.com,Green Light,N/A,ccfdffbf311adabdb7af80b7e4bc4c11681c7a77,7b52009b64fd0a2a49e6d8a939753077792b0554
12,05/09/2021,David,Robinson,22 Star Farms Drive Manchester ,CT ,06040,David.Robinson@gmail.com,Green Light,N/A,95a5f6147fef97ad3765429dd84dc720ca72855c,7719a1c782a1ba91c031a682a0a2f8658209adbf
13,06/17/2021,Dolores,Baker,565 North Lakeshore Drive Panama City Beach ,FL ,32413,Dolores.Baker@gmail.com,Yellow Light,N/A,2dd046317bedcaef19137c517f3e418668e0c871,91032ad7bbcb6cf72875e8e8207dcfba80173f7c
14,07/04/2021,Lindsey,Davis,817 Nevada Drive Northeast Palm Bay ,FL ,32907,Lindsey.Davis@gmail.com,Green Light,N/A,714021d8490fdfe84e60797e0b141e1d6721dba1,0a57cb53ba59c46fc4b692527a38a87c78d84028
15,02/18/2021,Julianna,Straugh,4537 Tanglewood Trail Boulder ,CO ,80301,Julianna.Straugh@gmail.com,Yellow Light,N/A,2501760649b7ef3fca828036af8fcb1abfcd97e5,5b384ce32d8cdef02bc3a139d4cac0a22bb029e8
16,05/27/2020,Victorina,Ward,3553 Brandywine Street Northwest Washington ,DC ,20008,Victorina.Ward@gmail.com,Red Light,N/A,e9a5b21dd6258ab6e8301c733ee5b6489c462c87,972a67c48192728a34979d9a35164c1295401b71
17,07/10/2021,Shirley,Matthews,1828 East Parkshore Drive Fayetteville ,AR ,72703,Shirley.Matthews@gmail.com,Green Light,N/A,dbb9bb8908c9addbcff5ccd0cfe322681a0830e0,bc33ea4e26e5e1af1408321416956113a4658763
18,11/07/2021,Shannon,Imperial,3949 Ethan Allen Highway Saint Albans City ,VT ,05478,Shannon.Imperial@gmail.com,Red Light,N/A,905b7a993cfdc992a56f6498b0de5e12e0ebc746,ca3512f4dfa95a03169c5a670a4c91a19b3077b4
19,01/31/2021,Timothy,Asberry,3111 West Place Southeast Washington ,DC ,20020,Timothy.Asberry@gmail.com,Yellow Light,N/A,35f6716c8c223d8a2eeefaf49b1b4cf883cd7082,472b07b9fcf2c2451e8781e944bf5f77cd8457c8
20,02/24/2020,Mattie,Burger,4840 Reservoir Road Northwest Washington ,DC ,20007,Mattie.Burger@gmail.com,Yellow Light,N/A,14c4ddade083b3decce137afe7e8ed74ae002e09,0ade7c2cf97f75d009975f4d720d1fa6c19f4897
21,07/09/2020,Margie,Piper,83 Kennedy Road Manchester ,CT ,06042,Margie.Piper@gmail.com,Red Light,N/A,dc2f15842fb53cd69f07facf6ca184f5f33f5d5b,e1822db470e60d090affd0956d743cb0e7cdf113
22,06/12/2023,Kim,Estrada,12420 West Montebello Avenue Litchfield Park ,AZ ,85340,Kim.Estrada@gmail.com,Green Light,N/A,9328aa0e6aba31b3058465c7e361c1b9883ca72f,9e6a55b6b4563e652a23be9d623ca5055c356940
23,12/10/2021,Amanda,Wilson,14358 West 88th Place Arvada ,CO ,80005,Amanda.Wilson@gmail.com,Green Light,N/A,860bbe2f8311a8de866cdf42b95f8d88d74b60c9,7b52009b64fd0a2a49e6d8a939753077792b0554
24,04/16/2020,Hattie,Martinez,5959 North 55th Avenue Glendale ,AZ ,85301,Hattie.Martinez@gmail.com,Red Light,N/A,88634da26f874761dde3b9e91fd00ad5d81c4b71,af3e133428b9e25c55bc59fe534248e6a0c0f17b
25,11/10/2022,Todd,Worthen,5029 Montclair Drive Nashville ,TN ,37211,Todd.Worthen@gmail.com,Green Light,N/A,58790af2270dc4fe4b8387b9847769ada5a799a4,b6692ea5df920cad691c20319a6fffd7a4a766b8
26,06/17/2023,Marion,Williams,6208 Ingalls Street Arvada ,CO ,80003,Marion.Williams@gmail.com,Yellow Light,N/A,b35d0623a68bc66196512f72e85fbbbe72214772,fb644351560d8296fe6da332236b1f8d61b2828a
27,05/20/2023,Justin,Joseph,5516 West Indore Drive Littleton ,CO ,80128,Justin.Joseph@gmail.com,Red Light,N/A,1150f48ea99ccb61262002fc73a786aff144b42c,887309d048beef83ad3eabf2a79a64a389ab1c9f
28,01/03/2020,Sheila,Perry,2456 22nd Avenue Greeley ,CO ,80631,Sheila.Perry@gmail.com,Yellow Light,N/A,52532466db0d0c54df8156397a8f917f31bf0d55,bc33ea4e26e5e1af1408321416956113a4658763
29,05/09/2023,Jody,Richardson,21007 North 53rd Avenue Glendale ,AZ ,85308,Jody.Richardson@gmail.com,Green Light,N/A,c94db9af35981015237903fd6c4081497169771a,902ba3cda1883801594b6e1b452790cc53948fda
30,01/03/2020,Brian,Kelly,81 Seaton Place Northwest Washington ,DC ,20001,Brian.Kelly@gmail.com,Red Light,N/A,f88fc74f7296beea0018c1cf759a623e0783333f,fe2ef495a1152561572949784c16bf23abb28057
31,12/11/2020,Jackie,Coleman,6116 West Charter Oak Road Glendale ,AZ ,85304,Jackie.Coleman@gmail.com,Yellow Light,N/A,2b83e816dd6a38c2310515c956dc94f5f375281b,98fbc42faedc02492397cb5962ea3a3ffc0a9243
32,04/13/2020,Blake,Perez,32 Country Club Boulevard Dartmouth ,MA ,02747,Blake.Perez@gmail.com,Yellow Light,N/A,17e7e693b9684ed4cc8d550195144d6130261781,902ba3cda1883801594b6e1b452790cc53948fda
33,01/24/2021,Amy,Kehew,110 Castle Hill Manchester ,CT ,06040,Amy.Kehew@gmail.com,Yellow Light,N/A,71ac5b46ff2cb1a7fe18fc9461e938152929ac87,0a57cb53ba59c46fc4b692527a38a87c78d84028
34,03/03/2022,Ramon,Stall,549 Elysian Fields Road Nashville ,TN ,37211,Ramon.Stall@gmail.com,Yellow Light,N/A,d74cb4e42dbee4d6c3170e319dd75d214f5a17ee,9e6a55b6b4563e652a23be9d623ca5055c356940
35,08/07/2020,Carol,Williams,3420 Northwest 41st Street Oklahoma City ,OK ,73112,Carol.Williams@gmail.com,Red Light,N/A,448daa7ff4459d753c6af4323f6195680d4383b7,fe2ef495a1152561572949784c16bf23abb28057
36,04/09/2021,Jesse,Gravina,322 East Taylor Street Savannah ,GA ,31401,Jesse.Gravina@gmail.com,Yellow Light,N/A,aed86c0a8a09057f08ce678fa51f799f9bc25f14,22d200f8670dbdb3e253a90eee5098477c95c23d
37,09/02/2022,Gina,Lyons,2500 Snowdoun Chambers Road Montgomery ,AL ,36105,Gina.Lyons@gmail.com,Green Light,N/A,449570d8165a50dd975d4c5c048119d4968c7386,0716d9708d321ffb6a00818614779e779925365c
38,10/05/2022,Ruby,Hartshorn,Career Avenue Washington ,DC ,20032,Ruby.Hartshorn@gmail.com,Yellow Light,N/A,c384c32628fa805248f1c21c4fc786c1700bfca4,91032ad7bbcb6cf72875e8e8207dcfba80173f7c
39,11/10/2021,Bobby,Patino,1405 Mercedes Avenue Panama City ,FL ,32401,Bobby.Patino@gmail.com,Red Light,N/A,cb8e1fcfdbb3d365e7b090d81c0a71a084a9574d,77de68daecd823babbb58edb1c8e14d7106e83bb
40,04/01/2021,Rosalee,Swanagan,2185 Howe Pond Road Readsboro ,VT ,05350,Rosalee.Swanagan@gmail.com,Red Light,N/A,68b5637e73c33caddaa7b6cc557550532ef08d9b,ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4
41,03/27/2023,Mary,Borgmeyer,1200 S Street Anchorage ,AK ,99501,Mary.Borgmeyer@gmail.com,Red Light,N/A,5281ba59467ff1b88e55feb8245ab1f2bacc001f,fe2ef495a1152561572949784c16bf23abb28057
42,07/14/2023,Sharon,Smith,58 Rice Street Southwest Washington ,DC ,20032,Sharon.Smith@gmail.com,Red Light,N/A,21331c680384a0fd01f5ddb0b9dd7f6e6df6e760,761f22b2c1593d0bb87e0b606f990ba4974706de
43,05/21/2022,Ashlee,Wisner,940 Ironwood Drive Montgomery ,AL ,36117,Ashlee.Wisner@gmail.com,Yellow Light,N/A,bcc3941f2ec74c469abf1e0c2f04b48c6a110da2,b1d5781111d84f7b3fe45a0852e59758cd7a87e5
44,03/17/2022,Richard,Wright,922 Urciolo Court Annapolis ,MD ,21401,Richard.Wright@gmail.com,Green Light,N/A,4f473c00e1555af98df35aad21469e334a929a4f,632667547e7cd3e0466547863e1207a8c0c0c549
45,02/27/2023,Willie,Marcinkowski,760 11th Street Southeast Washington ,DC ,20003,Willie.Marcinkowski@gmail.com,Yellow Light,N/A,686c36d41307893d6dfd34c92affc41e06bebee4,887309d048beef83ad3eabf2a79a64a389ab1c9f
46,02/02/2022,Anthony,Smith,1222 Arcade Boulevard Sacramento ,CA ,95815,Anthony.Smith@gmail.com,Red Light,N/A,70655df7bff20374d58f10a352c2f3fbb2a14bd1,92cfceb39d57d914ed8b14d0e37643de0797ae56
47,02/14/2023,Gonzalo,Krane,210 Beachcomber Drive Pismo Beach ,CA ,93449,Gonzalo.Krane@gmail.com,Green Light,N/A,f3ba5d1780990a6bfe853d17fe35e9667362e176,827bfc458708f0b442009c9c9836f7e4b65557fb
48,03/21/2021,Michael,Refazo,1255 U.S. Route 5 North Windsor ,VT ,05089,Michael.Refazo@gmail.com,Green Light,N/A,d96673d689e95b28f8b8a0afb8a311f9647c5481,f6e1126cedebf23e1463aee73f9df08783640400
49,05/28/2020,Jesse,Flint,3701 Lake Towne Drive Nashville ,TN ,37013,Jesse.Flint@gmail.com,Red Light,N/A,d65375ecdbd20782633555f9a9be82d7146c439f,7b52009b64fd0a2a49e6d8a939753077792b0554
50,08/01/2021,George,Andres,19803 North Mitkof Loop Anchorage ,AK ,99577,George.Andres@gmail.com,Green Light,N/A,6e1ec305ce212ba194e0997dd12a624b2c12d11c,e1822db470e60d090affd0956d743cb0e7cdf113
51,06/01/2023,Terri,Charles,1600 20th Street Northwest Washington ,DC ,20009,Terri.Charles@gmail.com,Red Light,N/A,7988441cc05b0d56abd984fc196747121471a8fa,1574bddb75c78a6fd2251d61e2993b5146201319
52,09/14/2020,Brandon,Ritchie,72 Bentley Avenue Poultney ,VT ,05764,Brandon.Ritchie@gmail.com,Red Light,N/A,7a0a3172f8a5e9d0a3988d0d514f0dce330d650a,7719a1c782a1ba91c031a682a0a2f8658209adbf
53,03/24/2021,Nathan,Lige,1243 Doris Avenue Pasadena ,MD ,21122,Nathan.Lige@gmail.com,Yellow Light,N/A,6e5e24726a07678774ed86e8a3e83ef0cc1a32ad,827bfc458708f0b442009c9c9836f7e4b65557fb
54,10/02/2020,Donna,Lukas,159 Adams Street Manchester ,CT ,06040,Donna.Lukas@gmail.com,Yellow Light,N/A,fa087b58cc830ce6844117ee6addb91bc2568ce9,5b384ce32d8cdef02bc3a139d4cac0a22bb029e8
55,05/31/2021,Andrew,Malinowski,5108 Franklin Street Savannah ,GA ,31405,Andrew.Malinowski@gmail.com,Green Light,N/A,e298051fc24ed239fe70661282b926041c19095c,0286dd552c9bea9a69ecb3759e7b94777635514b
56,01/07/2023,Wendy,Brennan,4012 Heritage Place Drive Norman ,OK ,73072,Wendy.Brennan@gmail.com,Yellow Light,N/A,8c8adb7aa864f4a3c90b094bdb0f8e47d7250c2c,7b52009b64fd0a2a49e6d8a939753077792b0554
57,06/14/2020,Tina,Digregorio,653 Stratton Arlington Road Stratton ,VT ,05360,Tina.Digregorio@gmail.com,Yellow Light,N/A,535eaa3390c7bff80c2ad2b9d09cba2e1a49d7ca,bd307a3ec329e10a2cff8fb87480823da114f8f4
58,04/16/2023,Lena,Giebner,403 Irwin Street Anchorage ,AK ,99508,Lena.Giebner@gmail.com,Yellow Light,N/A,6ee319817f2c55cade48926f60c386c9d6e1b219,0716d9708d321ffb6a00818614779e779925365c
59,01/24/2020,Tasha,Burkett,42223 Edgewood Street Fremont ,CA ,94538,Tasha.Burkett@gmail.com,Red Light,N/A,2b3ff7b7ba2590b343936285947f7b220da964bf,64e095fe763fc62418378753f9402623bea9e227
60,07/11/2023,Samantha,Prince,57 Birdie Lane Tewksbury ,MA ,01876,Samantha.Prince@gmail.com,Green Light,N/A,31cb171993b6501ddf0981c748c037d63955627b,356a192b7913b04c54574d18c28d46e6395428ab
61,01/17/2023,Donald,Oniel,3328 Sunny Meadows Court Birmingham ,AL ,35242,Donald.Oniel@gmail.com,Green Light,N/A,dbd9bab23371eeba072acddd5e6846f17f20f067,22d200f8670dbdb3e253a90eee5098477c95c23d
62,03/28/2021,Gerardo,Williams,16412 Eastwood Cut Off Road Louisville ,KY ,40245,Gerardo.Williams@gmail.com,Yellow Light,N/A,fb53f041859b438e1164a6fd8afe666ee150180d,17ba0791499db908433b80f37c5fbc89b870084b
63,03/04/2020,Sharon,Crossley,1430 South Gay Avenue Panama City ,FL ,32404,Sharon.Crossley@gmail.com,Green Light,N/A,4a63d243fe5f68ce7d3e4255337c08aba510f818,f6e1126cedebf23e1463aee73f9df08783640400
64,08/08/2020,Judith,Johnson,3027 Badger Drive Pleasanton ,CA ,94566,Judith.Johnson@gmail.com,Yellow Light,N/A,6584002bf003dfd0f0b1794d125a8d813488c6e8,827bfc458708f0b442009c9c9836f7e4b65557fb
65,04/27/2023,Suzanne,Bedell,3219 Lakeshore Drive Nashville ,TN ,37138,Suzanne.Bedell@gmail.com,Red Light,N/A,2b5e3a0c92bbcdec9500a710354ec15cdca41b0a,bc33ea4e26e5e1af1408321416956113a4658763
66,01/20/2021,Jason,Murphy,8554 Twin Gable Drive Montgomery ,AL ,36116,Jason.Murphy@gmail.com,Red Light,N/A,ce82eb741384c2e6290d0770aec92628e728a4e0,0286dd552c9bea9a69ecb3759e7b94777635514b
67,03/19/2020,Heather,Zachmann,208 Waterford Drive Lynn Haven ,FL ,32444,Heather.Zachmann@gmail.com,Red Light,N/A,461074dadb502f396fe4ad0cc8afb71fe6e5fd93,4d134bc072212ace2df385dae143139da74ec0ef
68,03/03/2021,Agnes,Lundy,549 Elysian Fields Road Nashville ,TN ,37211,Agnes.Lundy@gmail.com,Red Light,N/A,c2e644abdbcb7b72a207b49880d22f9b94305737,827bfc458708f0b442009c9c9836f7e4b65557fb
69,12/02/2020,Steven,Deare,2375 South School Avenue Fayetteville ,AR ,72701,Steven.Deare@gmail.com,Red Light,N/A,9337b1078a1f294eaa802d9ab3a352acd8692bc1,bd307a3ec329e10a2cff8fb87480823da114f8f4
70,04/21/2021,Winnie,Arnold,322 East Taylor Street Savannah ,GA ,31401,Winnie.Arnold@gmail.com,Red Light,N/A,81377468795a231f833d957d3fa13ca600f9ced9,17ba0791499db908433b80f37c5fbc89b870084b
71,05/08/2020,Patrick,Walters,208 Towne Lake Way Pooler ,GA ,31322,Patrick.Walters@gmail.com,Red Light,N/A,fc256d5052800be158879746896a46c7a930de44,e1822db470e60d090affd0956d743cb0e7cdf113
72,12/29/2020,Darren,King,8757 Lamar Circle Arvada ,CO ,80003,Darren.King@gmail.com,Yellow Light,N/A,d63c1d5e7ee876121cb58e6a63eb993c33f53988,ca3512f4dfa95a03169c5a670a4c91a19b3077b4
73,01/03/2023,Linda,Furman,1601 East 19th Street Edmond ,OK ,73013,Linda.Furman@gmail.com,Green Light,N/A,d64193b46182714932eef375ab264e73185b75cc,7b52009b64fd0a2a49e6d8a939753077792b0554
74,05/10/2023,Mark,Gavia,12022 Town Park Circle Anchorage ,AK ,99577,Mark.Gavia@gmail.com,Yellow Light,N/A,30c2f8de73f4fe1077fbd328a6400c215eea80f4,f1abd670358e036c31296e66b3b66c382ac00812
75,11/20/2021,Kirsten,Frain,3502 Cottage Cove Lane Panama City ,FL ,32408,Kirsten.Frain@gmail.com,Red Light,N/A,d29d88a83535ca1e8cd821fb2b64d23f9207e1e8,0a57cb53ba59c46fc4b692527a38a87c78d84028
76,04/22/2022,Darrell,Canfield,1917 Whitaker Street Savannah ,GA ,31401,Darrell.Canfield@gmail.com,Green Light,N/A,d6e885706241ac2c2c0328f7fdbf432b20018dc2,0a57cb53ba59c46fc4b692527a38a87c78d84028
77,12/02/2021,Brandy,Flores,17722 North 79th Avenue Glendale ,AZ ,85308,Brandy.Flores@gmail.com,Yellow Light,N/A,42372bbf17c522232b9f8512917a6af91434e1a2,fa35e192121eabf3dabf9f5ea6abdbcbc107ac3b
78,05/29/2023,Kenneth,Kao,228 East Huntingdon Street Savannah ,GA ,31401,Kenneth.Kao@gmail.com,Yellow Light,N/A,d91556450e57936fe2296025c26d91a032ebdb93,e1822db470e60d090affd0956d743cb0e7cdf113
79,10/30/2021,Sondra,Calloway,2142 Colonel Way Odenton ,MD ,21113,Sondra.Calloway@gmail.com,Green Light,N/A,949f9bd77ff9a82c2b9f382b4c77043ecb48b364,da4b9237bacccdf19c0760cab7aec4a8359010b0
80,06/30/2021,Maria,Hallowell,1302 Cherry Street Panama City ,FL ,32401,Maria.Hallowell@gmail.com,Red Light,N/A,5fd94b8308bdb9390b8c789b8d41cc2a2c50d8a6,0a57cb53ba59c46fc4b692527a38a87c78d84028
81,10/14/2020,Charles,Taylor,7431 Gilbert Road Panama City ,FL ,32404,Charles.Taylor@gmail.com,Yellow Light,N/A,f4ae82e956ec0a63de50f8373d65321ce697c919,ca3512f4dfa95a03169c5a670a4c91a19b3077b4
82,11/09/2021,Michael,Hartman,2017 North Hartford Drive Fayetteville ,AR ,72701,Michael.Hartman@gmail.com,Red Light,N/A,666bf700c925369ec15ed88ad9a02cc8351d105f,0a57cb53ba59c46fc4b692527a38a87c78d84028
83,05/09/2022,Argentina,Montiel,1879 South Cherry Hills Drive Fayetteville ,AR ,72701,Argentina.Montiel@gmail.com,Red Light,N/A,38658e06bf7bd290061630f130c243195ad8b937,b3f0c7f6bb763af1be91d9e74eabfeb199dc1f1f
84,12/06/2020,Brenda,Howard,334 North Cove Boulevard Panama City ,FL ,32401,Brenda.Howard@gmail.com,Yellow Light,N/A,2d2bdd48bf87301c10d0c5c99a42cec52d30714e,da4b9237bacccdf19c0760cab7aec4a8359010b0
85,04/25/2020,Angela,Mcgee,6610 North 93rd Avenue Glendale ,AZ ,85305,Angela.Mcgee@gmail.com,Yellow Light,N/A,d708aa65e0addf364688c9c6f7b7283b4831c10f,98fbc42faedc02492397cb5962ea3a3ffc0a9243
86,01/05/2023,Jennie,Otoole,8064 Claytie Circle Nashville ,TN ,37221,Jennie.Otoole@gmail.com,Red Light,N/A,462ae3806fe4e4cb79f7dcbb392e2e3dc3f3fddb,fc074d501302eb2b93e2554793fcaf50b3bf7291
87,02/05/2022,Charles,Murdock,406 Ashwood Court Vacaville ,CA ,95688,Charles.Murdock@gmail.com,Yellow Light,N/A,4e521fdbee5138ed45cdc822de20775ee4b64f9c,1574bddb75c78a6fd2251d61e2993b5146201319
88,07/14/2022,Mark,Castleberry,75 Wilfred Road Manchester ,CT ,06040,Mark.Castleberry@gmail.com,Red Light,N/A,9c9ac13832a5f914c54c56562e3b77908d145e34,761f22b2c1593d0bb87e0b606f990ba4974706de
89,03/15/2023,Bobby,Finke,63 Columbia Drive Manchester ,CT ,06042,Bobby.Finke@gmail.com,Yellow Light,N/A,ac06296c5d446a83def8123970d5ca1e9c4093f7,12c6fc06c99a462375eeb3f43dfd832b08ca9e17
90,01/11/2021,Jerome,Bennett,7 Oliver Street Athol ,MA ,01331,Jerome.Bennett@gmail.com,Red Light,N/A,725fa64b3dc830e64d603a1d30174d2635c0ecfd,f1f836cb4ea6efb2a0b1b99f41ad8b103eff4b59
91,01/30/2020,Gloria,Peace,8043 Cranberry Street Anchorage ,AK ,99502,Gloria.Peace@gmail.com,Yellow Light,N/A,10be5c95b271b940f6c88fe8377df59a697ffe73,64e095fe763fc62418378753f9402623bea9e227
92,07/24/2021,Eric,Blomberg,429 Dennison Ridge Drive Manchester ,CT ,06040,Eric.Blomberg@gmail.com,Green Light,N/A,bd65a1e13f94653a478fa00d9e50e55472052b4e,827bfc458708f0b442009c9c9836f7e4b65557fb
93,08/04/2022,Halina,Wright,536 Walters Farm Road East Haven ,VT ,05837,Halina.Wright@gmail.com,Green Light,N/A,c4ac788c4f884d6f4b986266480d66e30905cf56,7b52009b64fd0a2a49e6d8a939753077792b0554
94,02/25/2023,Marilyn,Kinkead,7144 Marlborough Terrace Berkeley ,CA ,94705,Marilyn.Kinkead@gmail.com,Red Light,N/A,183981ab626a7699e94080e7cb21b0761b9e540f,632667547e7cd3e0466547863e1207a8c0c0c549
95,02/03/2023,Jessie,Larson,4822 Piney Branch Road Northwest Washington ,DC ,20011,Jessie.Larson@gmail.com,Yellow Light,N/A,0006741737ba7653fd580cbcaa900229946a1ad1,7b52009b64fd0a2a49e6d8a939753077792b0554
96,02/22/2022,Jeane,Kimple,60 Willow Lakes Drive Savannah ,GA ,31419,Jeane.Kimple@gmail.com,Green Light,N/A,f0c51d45fc1d87994bcadaf75cfb1ac2b4120ab6,632667547e7cd3e0466547863e1207a8c0c0c549
97,04/08/2022,Karen,Mccrea,2311 West Lawson Street Fayetteville ,AR ,72703,Karen.Mccrea@gmail.com,Green Light,N/A,bd82415b62ef31c35cb639b5c106019a420f0ebc,bc33ea4e26e5e1af1408321416956113a4658763
98,03/21/2023,Sarah,Bjorseth,3200 Southwest 95th Street Oklahoma City ,OK ,73159,Sarah.Bjorseth@gmail.com,Yellow Light,N/A,2932d3cf49c66a279965d31ae68a9c43c59f6b9c,ca3512f4dfa95a03169c5a670a4c91a19b3077b4
99,07/22/2020,Richard,Jones,5330 Shaun Circle Anchorage ,AK ,99507,Richard.Jones@gmail.com,Yellow Light,N/A,991af02ef1d4bb0d5570565013dcd6614716068e,fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f
100,03/11/2023,Sharon,Saez,1729 Frankford Street Southeast Washington ,DC ,20020,Sharon.Saez@gmail.com,Red Light,N/A,e2ff2f4bf426e60909052ae6ace893518c4e8b2d,fe5dbbcea5ce7e2988b8c69bcfdfde8904aabc1f
101,10/15/2021,Laura,Darling,1742 Allerford Drive Hanover ,MD ,21076,Laura.Darling@gmail.com,Red Light,N/A,432101b27169c5ba703a7684ab325b0077f12dc7,e1822db470e60d090affd0956d743cb0e7cdf113
102,07/13/2022,Kathleen,Stigall,1840 Nobel Place Louisville ,KY ,40216,Kathleen.Stigall@gmail.com,Green Light,N/A,705e8fd55e914e32f5bf9fcc4d6f8ca16168a0aa,0a57cb53ba59c46fc4b692527a38a87c78d84028
103,01/12/2020,Sean,Hayden,831 21st Street Northeast Washington ,DC ,20002,Sean.Hayden@gmail.com,Green Light,N/A,e288f447eb47fa080ef2555a5e2cb2bdde8a9ccd,356a192b7913b04c54574d18c28d46e6395428ab
104,12/20/2021,Russell,Rodriguez,445 Industrial Lane Barre ,VT ,05641,Russell.Rodriguez@gmail.com,Green Light,N/A,e98add5816db8b70e09aa09a799059fe96eb0bf9,fb644351560d8296fe6da332236b1f8d61b2828a
105,02/16/2023,Kay,Meyer,9200 Gainswood Circle Montgomery ,AL ,36117,Kay.Meyer@gmail.com,Red Light,N/A,89105bf8139019f742166de0de59ae33043db6a4,0286dd552c9bea9a69ecb3759e7b94777635514b
106,04/19/2021,Courtney,Kimbro,31 Hills Point Road Charlotte ,VT ,05445,Courtney.Kimbro@gmail.com,Red Light,N/A,859eb257ba5c3be250b711b97235a12df087d6cd,ac3478d69a3c81fa62e60f5c3696165a4e5e6ac4
107,04/23/2022,Darrell,Valdes,332 Stafford Road Fall River ,MA ,02721,Darrell.Valdes@gmail.com,Green Light,N/A,ddab7573bf9e05211a175e8f35963405cd371235,4d134bc072212ace2df385dae143139da74ec0ef
108,05/26/2023,Kenneth,Templeton,23480 Abers Avenue Port Charlotte ,FL ,33980,Kenneth.Templeton@gmail.com,Green Light,N/A,43527fe0023a9658f5769619f3bd28531a29118a,91032ad7bbcb6cf72875e8e8207dcfba80173f7c
109,10/22/2021,Ben,Harless,3313 East Tecumseh Road Norman ,OK ,73071,Ben.Harless@gmail.com,Green Light,N/A,5d6c5fee738d8ad635f5a8c1044ce73f35ed9383,cb4e5208b4cd87268b208e49452ed6e89a68e0b8
110,01/22/2021,Carolyn,Edge,3200 Southwest 95th Street Oklahoma City ,OK ,73159,Carolyn.Edge@gmail.com,Green Light,N/A,43491a581d0d2744df82a3322bf734c42a3a38e5,f1abd670358e036c31296e66b3b66c382ac00812
111,02/04/2020,Helen,Carson,7435 East Tulare Avenue Fresno ,CA ,93737,Helen.Carson@gmail.com,Yellow Light,N/A,9222b094549d077ad9b88585130ffbb7b926cdef,632667547e7cd3e0466547863e1207a8c0c0c549
112,07/12/2021,Tracy,Colbert,12 Saint Andrews Crossover Severna Park ,MD ,21146,Tracy.Colbert@gmail.com,Yellow Light,N/A,4c8ab3ebffdebd13b76fe747fe3f9815931ee783,17ba0791499db908433b80f37c5fbc89b870084b
113,01/06/2021,Susan,Shelton,3313 East Tecumseh Road Norman ,OK ,73071,Susan.Shelton@gmail.com,Yellow Light,N/A,dc8913e4334625a164cde7c557035021ef30f735,761f22b2c1593d0bb87e0b606f990ba4974706de
